agency_cd,site_no,date,discharge
USGS,5552500,11/5/1914,1000
USGS,5552500,11/6/1914,910
USGS,5552500,11/7/1914,865
USGS,5552500,11/8/1914,910
USGS,5552500,11/9/1914,778
USGS,5552500,11/10/1914,955
USGS,5552500,11/11/1914,820
USGS,5552500,11/12/1914,778
USGS,5552500,11/13/1914,694
USGS,5552500,11/14/1914,778
USGS,5552500,11/15/1914,616
USGS,5552500,11/16/1914,577
USGS,5552500,11/17/1914,694
USGS,5552500,11/18/1914,694
USGS,5552500,11/19/1914,650
USGS,5552500,11/20/1914,300
USGS,5552500,11/21/1914,550
USGS,5552500,11/22/1914,438
USGS,5552500,11/23/1914,505
USGS,5552500,11/24/1914,472
USGS,5552500,11/25/1914,654
USGS,5552500,11/26/1914,541
USGS,5552500,11/27/1914,406
USGS,5552500,11/28/1914,363
USGS,5552500,11/29/1914,541
USGS,5552500,11/30/1914,505
USGS,5552500,12/1/1914,577
USGS,5552500,12/2/1914,654
USGS,5552500,12/3/1914,616
USGS,5552500,12/4/1914,616
USGS,5552500,12/5/1914,438
USGS,5552500,12/6/1914,541
USGS,5552500,12/7/1914,541
USGS,5552500,12/8/1914,654
USGS,5552500,12/9/1914,654
USGS,5552500,12/10/1914,616
USGS,5552500,12/11/1914,577
USGS,5552500,12/12/1914,577
USGS,5552500,12/13/1914,400
USGS,5552500,12/14/1914,400
USGS,5552500,12/15/1914,400
USGS,5552500,12/16/1914,400
USGS,5552500,12/17/1914,400
USGS,5552500,12/18/1914,400
USGS,5552500,12/19/1914,400
USGS,5552500,12/20/1914,400
USGS,5552500,12/21/1914,400
USGS,5552500,12/22/1914,400
USGS,5552500,12/23/1914,400
USGS,5552500,12/24/1914,400
USGS,5552500,12/25/1914,400
USGS,5552500,12/26/1914,400
USGS,5552500,12/27/1914,400
USGS,5552500,12/28/1914,400
USGS,5552500,12/29/1914,400
USGS,5552500,12/30/1914,400
USGS,5552500,12/31/1914,400
USGS,5552500,1/1/1915,550
USGS,5552500,1/2/1915,550
USGS,5552500,1/3/1915,550
USGS,5552500,1/4/1915,550
USGS,5552500,1/5/1915,550
USGS,5552500,1/6/1915,550
USGS,5552500,1/7/1915,550
USGS,5552500,1/8/1915,550
USGS,5552500,1/9/1915,550
USGS,5552500,1/10/1915,654
USGS,5552500,1/11/1915,654
USGS,5552500,1/12/1915,694
USGS,5552500,1/13/1915,694
USGS,5552500,1/14/1915,694
USGS,5552500,1/15/1915,778
USGS,5552500,1/16/1915,865
USGS,5552500,1/17/1915,1140
USGS,5552500,1/18/1915,955
USGS,5552500,1/19/1915,694
USGS,5552500,1/20/1915,650
USGS,5552500,1/21/1915,650
USGS,5552500,1/22/1915,650
USGS,5552500,1/23/1915,650
USGS,5552500,1/24/1915,650
USGS,5552500,1/25/1915,650
USGS,5552500,1/26/1915,650
USGS,5552500,1/27/1915,650
USGS,5552500,1/28/1915,650
USGS,5552500,1/29/1915,650
USGS,5552500,1/30/1915,650
USGS,5552500,1/31/1915,650
USGS,5552500,2/1/1915,4190
USGS,5552500,2/2/1915,3380
USGS,5552500,2/3/1915,2570
USGS,5552500,2/4/1915,2570
USGS,5552500,2/5/1915,6450
USGS,5552500,2/6/1915,5120
USGS,5552500,2/7/1915,3380
USGS,5552500,2/8/1915,3030
USGS,5552500,2/9/1915,2870
USGS,5552500,2/10/1915,2430
USGS,5552500,2/11/1915,3380
USGS,5552500,2/12/1915,4410
USGS,5552500,2/13/1915,4880
USGS,5552500,2/14/1915,6170
USGS,5552500,2/15/1915,6170
USGS,5552500,2/16/1915,3380
USGS,5552500,2/17/1915,2870
USGS,5552500,2/18/1915,2720
USGS,5552500,2/19/1915,2570
USGS,5552500,2/20/1915,2570
USGS,5552500,2/21/1915,2430
USGS,5552500,2/22/1915,2570
USGS,5552500,2/23/1915,3980
USGS,5552500,2/24/1915,5120
USGS,5552500,2/25/1915,4640
USGS,5552500,2/26/1915,3980
USGS,5552500,2/27/1915,3770
USGS,5552500,2/28/1915,3770
USGS,5552500,3/1/1915,4190
USGS,5552500,3/2/1915,4190
USGS,5552500,3/3/1915,4190
USGS,5552500,3/4/1915,3980
USGS,5552500,3/5/1915,3770
USGS,5552500,3/6/1915,3380
USGS,5552500,3/7/1915,3380
USGS,5552500,3/8/1915,3200
USGS,5552500,3/9/1915,2870
USGS,5552500,3/10/1915,2870
USGS,5552500,3/11/1915,2720
USGS,5552500,3/12/1915,2720
USGS,5552500,3/13/1915,2570
USGS,5552500,3/14/1915,2570
USGS,5552500,3/15/1915,2430
USGS,5552500,3/16/1915,2430
USGS,5552500,3/17/1915,2430
USGS,5552500,3/18/1915,2430
USGS,5552500,3/19/1915,2300
USGS,5552500,3/20/1915,2300
USGS,5552500,3/21/1915,2170
USGS,5552500,3/22/1915,2050
USGS,5552500,3/23/1915,2170
USGS,5552500,3/24/1915,2050
USGS,5552500,3/25/1915,1930
USGS,5552500,3/26/1915,1930
USGS,5552500,3/27/1915,1810
USGS,5552500,3/28/1915,1810
USGS,5552500,3/29/1915,1640
USGS,5552500,3/30/1915,1640
USGS,5552500,3/31/1915,1540
USGS,5552500,4/1/1915,1490
USGS,5552500,4/2/1915,1390
USGS,5552500,4/3/1915,1390
USGS,5552500,4/4/1915,1390
USGS,5552500,4/5/1915,1090
USGS,5552500,4/6/1915,1240
USGS,5552500,4/7/1915,1140
USGS,5552500,4/8/1915,1140
USGS,5552500,4/9/1915,1090
USGS,5552500,4/10/1915,1090
USGS,5552500,4/11/1915,1140
USGS,5552500,4/12/1915,1040
